type,pH,TDS_mgL,turbidity_NTU,BOD_mgL,COD_mgL,total_nitrogen_mgL,temperature_C,flow_m3_day,total_volume_L_day,heavy_metals,t_screening_min,t_anaerobic_reactor_min,t_biogas_handling_min,t_aeration_min,t_secondary_clarifier_min,t_sludge_handling_min,t_tertiary_filtration_min,equip_screening,equip_anaerobic_reactor,equip_biogas_handling,equip_aeration,equip_secondary_clarifier,equip_sludge_handling,equip_tertiary_filtration,capex_inr,opex_per_day_inr,cost_per_m3_inr
5,7.61000584749076,3327.792764077728,333.4290585731781,1071.6027601762833,1026.508950002957,95.1727097335381,28.16946410839997,367.1236440244265,367123.64402442647,1,2.998352230130143,1359.214135255893,13.34642734773785,339.8189311687813,290.11647937479154,222.7567505295307,30.15058674303679,coarse_screen,anaerobic_filter,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_drying_beds,pressure_sand_filter_plus_acf,3247506.7462244667,27455.619578729125,74.78575685771514
5,6.7848093286695565,2225.5805655610993,422.17914350708634,621.6054259161122,3133.5036910670383,76.14677277011725,37.59302346669844,478.86518014192694,478865.1801419269,0,2.7401770046550067,732.1890017015583,28.718330482583255,455.10060193018717,97.29048563200571,267.2912449692841,10.0,coarse_screen,anaerobic_filter,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,2849250.624316849,31159.12004528697,65.06866929863637
5,7.006727931107329,2028.3346826147845,161.78905986301064,1149.885289151212,4186.104390313583,83.79685485876333,22.980771670671118,4221.220742878034,4221220.742878034,0,2.597878981926268,889.6483080181727,16.37262036163718,514.006634198037,209.22825869296804,247.4647900835016,16.85833884354523,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,12702351.002594447,93796.28809709333,22.220180798491693
5,6.029072560727626,3766.283650789018,97.2041850977565,2189.8536029472198,2345.09910342837,191.6739068032859,27.988505231576127,5625.008164867818,5625008.164867817,0,1.4802706566055517,1997.3280218660298,36.635648972982956,613.9206060356089,267.436099679899,126.82576556249467,33.24599354112073,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,18260511.450002022,170369.6748307612,30.287898228280124
5,6.214178992274573,2922.7779612569047,399.4627399398909,1253.0250511753843,4153.798052385643,62.984330921197575,27.80917827595443,4807.809927972424,4807809.927972424,0,2.426515728248904,1389.714542142102,37.11704755879728,620.6818876936702,258.3571209615029,335.2709433211065,15.354177744557116,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,14689114.810076224,107781.89862705267,22.41808645553237
5,7.425780525133137,3466.6853308908685,270.6741613959473,1606.500079587082,2813.848557395621,192.94890996589317,26.345556805534315,2472.2987089328185,2472298.7089328184,1,1.8403690693862609,1566.9213722165002,40.93237276512396,652.8105172277551,200.66923053350547,324.3323565123882,17.631298121053078,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,9524266.479134046,75234.37267715865,30.430939596952662
5,7.646504036072063,1050.408204794156,272.80425907363775,646.9466236145552,4403.763511031673,170.8956720660088,22.795785970854325,3209.928211686787,3209928.211686787,0,1.9835514000376724,1070.5075512644873,8.106593023618185,456.51909880660673,139.55173529102464,236.11583370438808,11.079236953204612,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,9795150.067631932,62413.762054769235,19.443974425201052
5,6.005490412816476,1183.058325589452,237.92135126508734,2356.2268420291475,4536.8588117401,111.68517282984489,29.095196371651625,4035.258958737896,4035258.9587378963,0,1.674595011497398,2164.0137900037626,26.093243499354433,581.746907819329,349.5785742455114,256.5228698017593,35.8868393490383,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,14825177.961555094,140294.60818959997,34.76718833268628
5,7.394626964717602,519.9944147477137,71.48604329069792,798.076621631099,1697.2675642667766,64.54648320607042,20.97931163505899,1381.5472732737012,1381547.273273701,0,2.772150322860706,912.759069786605,15.848440261996123,302.22252114923106,214.94966465033133,229.42818018258365,29.955299066403516,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_drying_beds,pressure_sand_filter_plus_acf,5230243.018376822,39946.53002640769,28.914341766786432
5,6.751400082959423,2973.7097156587306,237.89870548579347,2148.003597285686,1768.7253957031207,178.07233101300673,30.102105062007443,4379.529786845906,4379529.786845906,0,1.632242698571239,1583.7572562543721,10.38869216795159,224.78416986855908,281.22551656316534,168.32149137202583,38.511699852832656,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_drying_beds,pressure_sand_filter_plus_acf,14271978.796174685,135128.02730443803,30.854460154672427
5,6.040245235825122,2449.093337444176,319.8504073916653,1695.994275101315,3864.2302213364437,119.2059034965604,31.260764407127436,3001.5248896899534,3001524.8896899535,0,1.4962544301057163,1493.934031830136,32.24336686521937,279.12237635745356,352.67925750443396,305.7026137245138,38.09470125006167,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,10466593.924463952,90640.25029631538,30.198067191666098
5,6.587892742376509,2052.2250680818893,193.79120496290827,593.3832307438496,870.0427207363981,71.94713299715715,37.2252506450055,1065.7955475414888,1065795.5475414887,0,1.498763780783582,563.2409485524487,10.178680692587099,377.6520796866742,171.42100365183052,158.82558739989406,18.64417864687874,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_drying_beds,pressure_sand_filter_plus_acf,4190766.1613822384,32587.43424329174,30.575689979623593
5,6.548695853496683,2209.2174086625973,557.3453700089699,902.9898561629634,3877.4832425245463,72.69204547265406,23.86832095892614,2010.6877517543994,2010687.7517543994,1,2.8707485853444425,964.4064847418055,10.91052952700458,139.34408166991966,115.03286146544961,155.4026764495352,19.65425007895908,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,6895220.682215208,53954.02392952007,26.833616449119557
5,7.203140462479235,3933.6071608686557,539.762465333796,984.508164112873,3368.489996734148,186.66211118294368,22.032046958275394,5138.8297187806265,5138829.718780627,0,2.5633748719173006,942.7384222832688,24.643765716633833,361.15616685823665,126.1410503682519,289.97126904893275,28.98180438391042,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,14831661.271896195,97884.49698984466,19.048013331150287
5,6.965969703036823,1858.036149652841,571.1204185408669,1248.6192714566787,4494.399020748006,101.15758893340501,27.47032383825637,2232.4230482435833,2232423.048243583,1,1.554637218614956,910.0044275605625,8.522569452493533,409.2801716667556,203.1428777775178,109.61087735545966,15.408665139985336,mechanical_screen,uasb_reactor,biogas_holder_and_flare,diffused_aeration_tank,secondary_clarifier_circular,sludge_thickener_plus_press,pressure_sand_filter_plus_acf,7773130.835088224,65792.95463528036,29.471544242944756
