type,pH,TDS_mgL,turbidity_NTU,BOD_mgL,COD_mgL,total_nitrogen_mgL,temperature_C,flow_m3_day,total_volume_L_day,heavy_metals,t_screening_min,t_coag_floc_min,t_sedimentation_min,t_filtration_min,t_carbon_polishing_min,t_disinfection_min,equip_screening,equip_coag_floc,equip_sedimentation,equip_filtration,equip_carbon_polishing,equip_disinfection,capex_inr,opex_per_day_inr,cost_per_m3_inr,t_oil_grease_min,t_equalization_min,t_primary_clarifier_min,t_aeration_min,t_secondary_clarifier_min,equip_oil_grease,equip_equalization,equip_primary_clarifier,equip_aeration,equip_secondary_clarifier,t_grit_chamber_min,t_biological_reactor_min,t_mbr_min,t_activated_carbon_min,equip_grit_chamber,equip_biological_reactor,equip_mbr,equip_activated_carbon,t_neutralization_min,t_precipitation_min,t_heavy_metal_removal_min,t_filter_press_min,t_carbon_filter_min,t_ro_min,equip_neutralization,equip_precipitation,equip_heavy_metal_removal,equip_filter_press,equip_carbon_filter,equip_ro,t_anaerobic_reactor_min,t_biogas_handling_min,t_sludge_handling_min,t_tertiary_filtration_min,equip_anaerobic_reactor,equip_biogas_handling,equip_sludge_handling,equip_tertiary_filtration
1,7.523643249400513,1145.510065958529,7.63590082962187,14.281092259921413,19.032415340471843,4.521601265239469,30.692564845511043,2105.07576820889,2105075.76820889,0,0.5413386698646026,21.759300691406164,96.71662957443235,23.622511970364222,30.03946119203095,17.907483892084457,coarse_bar_screen,rapid_mixer_light,hopper_bottom_clarifier,rapid_sand_filter,pressure_carbon_filter,chlorination_system,3497714.2551304055,17380.17193853345,8.25631656637301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.406995778961303,247.44586697188123,20.454092829132897,3.8483733694660947,16.804100319883226,7.628464389985499,17.010218949650998,2477.4357747150116,2477435.7747150115,0,1.94248579049568,26.930047767956225,113.01987677744852,15.35708402999784,8.39195838822958,28.907913337857845,fine_bar_screen,rapid_mixer_standard,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,4030199.2895481144,17355.586537266397,7.0054637599083165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.532137171095758,227.45217371784736,31.36274289910627,11.873563600792172,32.58514854738682,9.214328195513575,10.989821916605072,2690.087389974106,2690087.389974106,0,0.5935243687248134,30.10308412140819,164.52788957256377,31.381041274314235,16.053212938458625,37.32196476220279,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,4380223.075335609,27366.443635369375,10.173068628685998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.518991763043019,661.9777729131863,37.7749952812578,3.0709085009893915,41.88320236036746,6.991225607030943,29.677423538870027,1038.9196691986626,1038919.6691986626,0,0.7869858890858004,21.570213736651564,175.27149691058673,31.524656537460256,25.168685408434598,19.45013950661552,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,1891041.0428228162,12861.51482240253,12.379700956401035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.048096777227436,107.8010114634829,32.46318433095992,11.078731369121703,42.600614742512334,3.1778393599631505,15.38045417907434,3232.7237623262804,3232723.7623262806,0,1.9455063092674563,21.417935631249634,120.76873078106517,41.39388846887634,21.274474187352627,29.28962198471997,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,5188405.0444810875,33015.07279562759,10.212772640947772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.548981354986727,840.8058758682328,45.99488667187421,12.575554613794095,44.84841200194761,6.773376114944972,16.13880668107944,3865.7332945916464,3865733.2945916466,0,1.7469122519966918,23.378435790196086,184.49977043944304,20.756674973702847,21.176982426681157,20.176164187491363,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,6155482.634398822,45236.62443385043,11.70195173504047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.882674070555483,296.4290659918091,20.11468002974083,1.0815443315117332,16.812262073754567,4.501293735175075,12.648030917683112,3202.4837355791333,3202483.7355791335,0,1.5879409071143584,25.682339522394283,100.70064060145417,24.00358138152849,13.998903522462735,22.16945709545323,fine_bar_screen,rapid_mixer_standard,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,5113598.639586245,19091.78462770558,5.96155553128923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.183589447880226,698.0362186353012,10.216695813180294,14.94597666166079,15.94469589378472,2.940240938657476,11.82975180977415,1363.2352830840093,1363235.2830840093,0,1.546840356024622,14.733896450012672,84.34674879462526,26.253565114266735,26.7762993476059,23.37397339535647,fine_bar_screen,rapid_mixer_standard,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,2378353.2562486306,13382.06037141573,9.816398194405492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.673036653651063,1023.6530639698366,36.460443710462336,6.110101689119825,25.177833920501794,3.9931459120550628,12.743366600167418,1095.8835660282434,1095883.5660282434,0,0.9712008434034534,25.755579404021205,137.5511154422618,33.72603450957199,22.748408622023682,28.391694491911974,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,1977112.313971799,13082.336438721935,11.937706563239743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.01853700107916,756.686503576132,45.92576672996018,10.654822176259133,27.516039383159193,1.2322961807551183,22.211230677138097,1142.8718771676383,1142871.8771676384,0,1.2590973837940593,39.238748257490734,110.5940777249857,34.16348642022568,21.510342877819163,11.748268860513633,fine_bar_screen,rapid_mixer_high_rate,hopper_bottom_clarifier,dual_media_filter,pressure_carbon_filter,chlorination_system,2051128.1107322972,15656.346166630447,13.699126279519037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
