type,pH,TDS_mgL,turbidity_NTU,BOD_mgL,COD_mgL,total_nitrogen_mgL,temperature_C,flow_m3_day,total_volume_L_day,heavy_metals,t_screening_min,t_oil_grease_min,t_equalization_min,t_coag_floc_min,t_primary_clarifier_min,t_aeration_min,t_secondary_clarifier_min,t_filtration_min,t_disinfection_min,equip_screening,equip_oil_grease,equip_equalization,equip_coag_floc,equip_primary_clarifier,equip_aeration,equip_secondary_clarifier,equip_filtration,equip_disinfection,capex_inr,opex_per_day_inr,cost_per_m3_inr
2,6.6540303356232915,658.189372096948,247.9832073663985,172.97898553377422,600.050262982827,47.78522370653076,19.697526834165085,740.4369478640682,740436.9478640682,0,1.5499387358120762,35.59046533260768,138.51539349595504,28.497856322713467,120.50705730688651,582.9834345348393,165.19502204083759,24.403497198278213,44.356543826181415,manual_bar_screen,api_separator,circular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,extended_aeration,secondary_clarifier_circular,pressure_sand_filter,chlorination,2674322.3151517753,26185.337158337592,35.36470895175369
2,7.707662055774064,769.9497996960314,72.43071952162745,236.49016639293328,555.5329867847886,55.10442342752606,34.389098561817235,3317.8366860306687,3317836.6860306687,0,2.8484337930136485,18.594647915684813,196.97250031606913,18.091412382892845,85.48615410087417,340.5884299988386,262.3878209223904,27.805425266594263,43.86859218304525,mechanical_bar_screen,api_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,9122511.26815581,68771.74473814848,20.727887248852003
2,7.611090673013794,787.8508772106438,164.6418943549991,298.36087943897655,731.0589924538141,34.71837747716062,37.30600274916607,6214.425996345355,6214425.996345355,0,2.6587122516131627,25.48240197580013,239.52373437791368,31.18770715911746,156.78456267030313,379.07532554878964,134.25944254404715,13.760014938661424,41.75691673463044,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,16372251.911515528,132436.83160159498,21.311192969307193
2,7.14107655220389,1377.2809765118106,253.8512973138383,246.27378362020414,786.8393848526115,41.64279049852641,34.14708285538245,4190.504713100148,4190504.7131001484,0,1.3923398239365439,22.831725161168894,105.14269504906504,48.90752941743792,87.7808330407626,227.76491324996542,256.6579359314781,14.314393693555466,31.24177466120502,mechanical_bar_screen,api_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,11298503.470103977,84253.85390256968,20.10589646616539
2,7.221246432709924,1044.3268900602748,161.12405507244705,384.33578593224206,675.1982971816378,40.85099240473346,30.431803417632082,5164.204617748406,5164204.617748406,0,2.9295236177507094,19.35536958201929,223.24728049178523,38.92243672534841,92.02952092235464,480.96688733855603,324.12680929634394,36.35157352884151,19.40352253449906,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,13767924.674491413,135538.7026450884,26.245804083607997
2,6.741565824156862,311.76641885587657,251.69074403386182,177.59189807726574,328.7275893874097,59.184750443779436,26.146746985380346,3320.251390824025,3320251.390824025,0,1.0980267791261842,28.626224791575606,134.14775124287885,45.17159019733458,65.93159542102283,281.7697664965683,131.70541157017558,20.392903744293616,24.384653587079757,mechanical_bar_screen,api_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,pressure_sand_filter,chlorination,9115156.785409503,58715.29617654905,17.683991139591694
2,7.533319191225997,642.5191266471545,274.69724282363757,390.46748954951914,329.7174327179512,24.407687361974062,29.075579581397697,7752.470248942999,7752470.248942999,0,1.1280484626487624,24.251409198861744,201.96576655759566,53.73146853218002,239.92663606280794,923.4723469265201,297.86253259525034,15.750080131386955,56.19610344148071,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,20267767.11321194,195995.69547414745,25.281708820600794
2,7.536569872877892,403.33897824174005,91.3800571091343,305.1885211415727,492.82005844181975,35.0971563970744,35.11462663996874,8275.50357866483,8275503.57866483,0,2.093573960360615,25.50946916170021,194.56961847576892,46.16662285568486,170.85340301480537,905.105215847641,124.44755937606358,35.62650407474342,37.06420376020286,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,21545523.026719075,172992.5341143348,20.90417005683241
2,7.784097577396993,531.1139704548241,173.6335852774781,222.3194810304798,352.74023843335345,15.14340467781527,37.67100049661509,6774.8622873511085,6774862.287351108,0,1.4100434633330146,20.72512642205509,192.98737756802524,49.95080945532957,85.65561694892556,812.0070690766817,267.6472376551161,17.212239803673935,36.50901374309072,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,17777419.17852427,117064.10857505984,17.27918644097348
2,6.9002438319152155,1136.7880134067009,44.336508041370955,267.4914700516067,594.2454018450469,43.191408116610724,32.31988685428908,8935.53745540986,8935537.45540986,0,1.482500419814852,12.051956464797838,197.39805276109226,29.499656876219664,215.22112622814112,692.1827709711768,246.53837779033344,36.16952885117398,25.818966806427305,mechanical_bar_screen,cpi_separator,rectangular_eq_tank,flash_mixer_plus_flocculator,primary_clarifier_circular,diffused_aeration,secondary_clarifier_circular,dual_media_filter,chlorination,23187039.906632658,168680.68984540002,18.877509124342076
