type,pH,TDS_mgL,turbidity_NTU,BOD_mgL,COD_mgL,total_nitrogen_mgL,temperature_C,flow_m3_day,total_volume_L_day,heavy_metals,t_screening_min,t_neutralization_min,t_precipitation_min,t_heavy_metal_removal_min,t_filter_press_min,t_carbon_filter_min,t_ro_min,equip_screening,equip_neutralization,equip_precipitation,equip_heavy_metal_removal,equip_filter_press,equip_carbon_filter,equip_ro,capex_inr,opex_per_day_inr,cost_per_m3_inr
4,8.77222442228947,3458.90327463468,488.596978739698,110.62701792170164,1577.2862051883196,43.88379259395453,35.04753017464518,955.1862991057394,955186.2991057395,1,2.0878828015269963,74.2025996660716,50.362334371494185,91.78152715381705,166.59757382679223,41.541840627058434,72.62805199827875,mechanical_screen,continuous_stirred_tank,circular_clarifier,precipitation_plus_ion_exchange,belt_filter_press,gravity_carbon_filter,double_pass_ro,2907495.456838239,53092.96967422418,55.58388947154148
4,8.875731477264939,5630.937216380181,105.29244116575093,506.6387126334107,1806.432152077145,94.85233112162504,31.641435424143836,753.6392017132963,753639.2017132964,1,1.995735197570749,59.89446207411082,53.59288457642955,169.36795587356488,150.31724789651975,25.1858345776232,111.99134696245152,fine_bar_screen,continuous_stirred_tank,circular_clarifier,precipitation_plus_ion_exchange,belt_filter_press,gravity_carbon_filter,ro_with_energy_recovery,2712189.236696317,65235.92596822535,86.56121632197521
4,7.564683695860113,5683.356677804846,299.367584310582,250.87504271869136,2334.970533973957,54.25527561512289,31.895021623338145,2432.5906613294696,2432590.6613294696,0,2.3851040894211213,56.718360687453675,40.7994120101669,19.19832025496963,152.81031361300396,23.416164503655686,79.49315499098704,mechanical_screen,continuous_stirred_tank,rectangular_clarifier,none,belt_filter_press,gravity_carbon_filter,ro_with_energy_recovery,5796084.726482585,175922.30460793612,72.31890979627059
4,8.850029645305513,5397.959868485263,203.50007657349403,604.604932351283,248.6248873759857,92.35514811161552,28.429271280352555,4119.312237237925,4119312.2372379247,0,1.551876515130347,50.44884585534374,45.89882598909218,29.448793354225117,110.32598359827398,25.710995972166558,155.46290506400086,mechanical_screen,continuous_stirred_tank,rectangular_clarifier,none,belt_filter_press,pressure_carbon_filter,ro_with_energy_recovery,9093015.401330978,229242.8117721426,55.65074909831408
4,8.612782353402952,2854.0546533527013,167.53180146993708,655.2859521012786,402.5582361928116,45.2970022326958,36.910845429581876,4596.447832680001,4596447.832680001,0,1.1574403010213097,64.0114002576899,52.12482438756736,14.750096352476746,129.10460381086475,15.66878341325805,91.50504508077069,fine_bar_screen,continuous_stirred_tank,rectangular_clarifier,none,belt_filter_press,pressure_carbon_filter,double_pass_ro,9922959.648773964,176863.3445181343,38.478266469308004
4,7.106901823864225,4464.168895088081,62.32129904459795,533.6112674759402,1020.289325390192,54.93777093942472,23.387062493962908,3207.02397915797,3207023.9791579703,0,2.136521870144014,49.13578377368756,35.46171829006122,14.502832020224671,87.87281717655576,26.425397181693835,93.75500798334589,fine_bar_screen,continuous_stirred_tank,rectangular_clarifier,none,belt_filter_press,gravity_carbon_filter,ro_with_energy_recovery,7226310.110290431,176643.58324304048,55.08021904139915
4,5.449367771050154,4271.46324144186,253.9312430206583,425.2472840486459,1554.0447263566207,94.13905564937076,29.721624166459964,558.064560908243,558064.5609082431,1,2.38778625406467,52.06173090665997,60.91478124973584,108.40900699277505,139.77238435439764,39.69986630820474,63.69312274561617,mechanical_screen,continuous_stirred_tank,circular_clarifier,precipitation_plus_ion_exchange,belt_filter_press,gravity_carbon_filter,ro_with_energy_recovery,2184845.46103134,44068.108807338984,78.96596898326368
4,6.139250409637871,2318.092276189731,219.3526606526158,730.3353869799421,2059.4681304487217,83.94430480851915,30.778746576390255,140.24771964857626,140247.71964857625,0,1.5722661077512217,49.70760567509326,60.25423747585795,17.275568501781265,212.28421418927314,53.22381840360597,58.74456735134442,coarse_bar_screen,batch_neutralization_tank,circular_clarifier,none,belt_filter_press,gravity_carbon_filter,double_pass_ro,1117137.2134919637,22419.297293123287,159.85498622936703
4,7.992299344543502,3894.1415144884413,272.1593085166022,522.3431866691994,1289.409174685086,20.16752997708982,37.42264454030911,4851.690385135409,4851690.385135409,1,1.7075837272391359,59.85423888773729,60.95073905248083,68.06702836961138,194.56206309624196,18.45964163252935,127.7551655263563,mechanical_screen,continuous_stirred_tank,rectangular_clarifier,precipitation_plus_ion_exchange,belt_filter_press,gravity_carbon_filter,double_pass_ro,10769789.385551618,250958.16739764827,51.72592384842466
4,5.965845947093307,5808.339033856897,131.39581241261595,451.53864862749634,2103.9619424384973,98.87879166625193,32.64242761456638,4190.15485039545,4190154.85039545,1,1.783572261105714,64.03934308807172,49.64817363694343,169.669208902348,226.99056605603917,31.699935172818044,143.44745281265503,fine_bar_screen,continuous_stirred_tank,rectangular_clarifier,precipitation_plus_ion_exchange,belt_filter_press,gravity_carbon_filter,ro_with_energy_recovery,9657019.624756722,303545.1990115071,72.44247762892574
